Character,script,ep_number,Book,total_number
,"The episode opens to footage of the sky while it is snowing. The camera pans down to reveal the dimly lit houses of the Southern Water Tribe, and three people, with one holding a lantern, near the city. They walk up a hilltop and gaze over the city. The scene pans to the left, showing the houses of the tribe. Switch to the front of a house as the three people arrive at it; the owner comes out, holding a lantern.",1,1,1
Tonraq,The White Lotus has honored my family by coming. [He inclines his head respectfully.] Thank you.,1,1,1
,"The man pushes open the door to grant the three Lotus members entrance to his house. Inside, a woman with two braids is sweeping the floor with a broom. As she notices the visitors, she stops.",1,1,1
Senna,"[Briefly bowing her head, and tugging her right braid behind her ear.] Welcome.",1,1,1
,"A shield hanging on the wall falls down and rolls across the ground to come to a stop near her. Cut to a shot of the three guests entering while they remove the hoods of their coats, revealing their faces. There are two men, one tall and one short, and a woman.",1,1,1
White Lotus leader,"We have investigated many claims, both here and in the Northern Tribe. All have turned out to be false.",1,1,1
,"Tonraq walks toward his wife and puts his hand over her shoulder. Upon hearing the doubt of the White Lotus leader, the duo smiles at each other.",1,1,1
Senna,"[Happily.] Then you should be happy to know, your search has come to an end. [Her husband nods in agreement.]",1,1,1
White Lotus leader,[Close-up of his unimpressed face.] What makes you so sure your daughter is the one?,1,1,1
Senna,Korra! Please come in here!,1,1,1
,"Suddenly, a slab of earth flies past the three members of the White Lotus, whose eyes all grow big in astonishment. Quickly turning to the right to see who bent the earth, a young girl stands within a round hole in the wall, regarding the members of the Order.",1,1,1
Korra,[Proudly raising her fist in the air.] I'm the Avatar! You gotta deal with it!,1,1,1
